epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.4139233589172364,0.1,2.302463436126709,0.1
2,2.2940578651428223,0.16,2.3014339447021483,0.1
3,2.313189640045166,0.14,2.2997010707855225,0.1
4,2.26700382232666,0.18,2.2942489624023437,0.1
5,2.226359453201294,0.22,2.2794538497924806,0.3
6,2.26009765625,0.14,2.2614766120910645,0.45
7,2.186088981628418,0.14,2.227905821800232,0.3
8,2.1828823566436766,0.18,2.157568645477295,0.3
9,2.1041617393493652,0.28,2.067793774604797,0.35
10,2.0084001636505127,0.34,1.9648670196533202,0.6
11,1.9724062442779542,0.38,1.861984658241272,0.4
12,1.8745874214172362,0.42,1.818486261367798,0.3
13,1.8019877910614013,0.4,2.00892014503479,0.25
14,1.81026141166687,0.3,1.689072847366333,0.3
15,1.8445712661743163,0.38,1.509500765800476,0.5
16,1.668143434524536,0.42,1.4710928440093993,0.4
17,1.760712561607361,0.38,1.483375883102417,0.3
18,1.6450230598449707,0.44,1.5402738571166992,0.3
19,1.7062048292160035,0.48,1.7657923698425293,0.25
20,1.5169677448272705,0.5,1.4641616106033326,0.4
21,1.5934745979309082,0.44,1.242574405670166,0.5
22,1.4430858445167543,0.54,1.2402455806732178,0.5
23,1.3663724327087403,0.46,1.3267221927642823,0.4
24,1.3858656406402587,0.46,1.389755868911743,0.4
25,1.480534963607788,0.46,1.1676204681396485,0.45
26,1.3288732528686524,0.5,0.9908838987350463,0.75
27,1.2974325466156005,0.56,0.9701473474502563,0.6
28,1.2425422763824463,0.54,0.9857408404350281,0.6
29,1.2162157011032104,0.58,1.0734886407852173,0.55
30,1.1694851303100586,0.68,1.1604549884796143,0.6
31,1.2576705741882324,0.52,1.029021191596985,0.6
32,1.2017255210876465,0.64,0.9973421096801758,0.6
33,1.253328905105591,0.6,0.9441483020782471,0.7
34,1.1636976385116578,0.64,0.9340578556060791,0.65
35,1.0858775520324706,0.68,0.8686734080314636,0.75
36,1.0948528957366943,0.66,0.7775129437446594,0.8
37,1.2074098539352418,0.6,0.7103907585144043,0.9
38,1.0340826845169067,0.68,0.7343652367591857,0.8
39,1.051736626625061,0.68,0.8062403440475464,0.75
40,1.0576699995994567,0.66,0.855872106552124,0.65
41,0.9829301691055298,0.66,0.8743726491928101,0.65
42,0.9403250455856323,0.72,0.8987205266952515,0.65
43,0.9820265579223633,0.64,0.82567218542099,0.85
44,0.8788056087493896,0.7,0.7055034041404724,0.75
45,0.8647988498210907,0.72,0.6742002069950104,0.8
46,0.8550292563438415,0.72,0.6263153791427613,0.85
47,0.8687096023559571,0.68,0.577128803730011,0.95
48,0.7096365833282471,0.86,0.5916944026947022,0.85
49,0.781489896774292,0.78,0.5983610868453979,0.85
50,0.7000316619873047,0.8,0.6073222517967224,0.75
51,0.805524754524231,0.72,0.652008330821991,0.7
52,0.6688821411132813,0.84,0.6803540229797364,0.75
53,0.7976018238067627,0.68,0.5935761451721191,0.85
54,0.7808818912506104,0.76,0.48343961834907534,1.0
55,0.7573435878753663,0.76,0.4876924932003021,0.9
56,0.7916785764694214,0.8,0.5651472091674805,0.85
57,0.7333767795562744,0.78,0.6069440484046936,0.9
58,0.7262971878051758,0.78,0.5052672863006592,0.9
59,0.638777322769165,0.88,0.589844036102295,0.9
60,0.6895068740844726,0.78,0.437558913230896,0.9
61,0.7159158754348754,0.8,0.502908444404602,0.9
62,0.5733620691299438,0.88,0.45446719527244567,0.95
63,0.601341825723648,0.8,0.44928675293922427,0.8
64,0.581578905582428,0.82,0.44234383702278135,0.85
65,0.6182303333282471,0.84,0.4021936535835266,0.9
66,0.5736159873008728,0.8,0.43209505677223203,1.0
67,0.5438812685012817,0.82,0.4375497460365295,1.0
68,0.5543912386894226,0.88,0.5243553042411804,0.9
69,0.4430592155456543,0.98,0.5150887250900269,1.0
70,0.4747945785522461,0.94,0.4484630346298218,1.0
71,0.5333138370513916,0.88,0.4144857347011566,0.95
72,0.4608902454376221,0.94,0.4984997987747192,0.95
73,0.4841387033462524,0.88,0.31869091391563414,1.0
74,0.4092696142196655,0.92,0.3158986568450928,1.0
75,0.4036253261566162,0.86,0.39553003013134,1.0
76,0.5162469768524169,0.84,0.31418978571891787,1.0
77,0.5660057830810546,0.8,0.6629480957984925,0.65
78,0.6011559867858887,0.82,0.725831413269043,0.8
79,0.5604069852828979,0.88,1.0966962099075317,0.6
80,0.5884694528579711,0.9,0.45712201595306395,0.8
81,0.5640580070018768,0.9,0.3616307020187378,0.85
82,0.4104988670349121,0.94,0.30462964773178103,0.9
83,0.5290777540206909,0.86,0.26813613176345824,0.95
84,0.4731631278991699,0.88,0.3332974374294281,0.95
85,0.44415678024291994,0.86,0.38900974988937376,0.95
86,0.4253270745277405,0.92,0.3591666579246521,1.0
87,0.42807750225067137,0.88,0.30144023299217226,1.0
88,0.3986648678779602,0.84,0.27770164608955383,1.0
89,0.33191617369651794,0.98,0.3099000990390778,0.95
90,0.37161842107772824,0.9,0.43517500162124634,0.8
91,0.381942036151886,0.94,0.42344553470611573,0.85
92,0.3553966265916824,0.92,0.25516324043273925,0.95
93,0.28503658771514895,0.96,0.23479429483413697,1.0
94,0.35213210821151736,0.94,0.25339833498001096,1.0
95,0.26142934918403626,0.98,0.29171491861343385,0.95
96,0.3406870937347412,0.94,0.3028400897979736,0.9
97,0.27102532863616946,0.92,0.3544596552848816,0.9
98,0.27712501645088194,0.94,0.2377910017967224,1.0
99,0.26531327337026595,0.92,0.2693245351314545,0.9
100,0.3167042660713196,0.92,0.2522064745426178,0.95
101,0.3031427490711212,0.96,0.20801087021827697,1.0
102,0.2684057331085205,0.92,0.3411943197250366,0.95
103,0.22105951517820357,0.98,0.3820488452911377,0.95
104,0.2350037968158722,0.98,0.2631293058395386,0.95
105,0.27299546062946317,0.96,0.20072053074836732,0.95
106,0.2238239324092865,0.94,0.2754823565483093,0.95
107,0.24089981526136398,0.94,0.3994046688079834,0.85
108,0.2639201056957245,0.92,0.27009389400482176,0.95
109,0.2120165193080902,0.98,0.39406387507915497,0.95
110,0.2763245180249214,0.92,0.4008703112602234,0.95
111,0.3231403398513794,0.92,0.2653699666261673,0.95
112,0.2057548189163208,0.96,0.2645857334136963,0.95
113,0.19077665150165557,1.0,0.4048203110694885,0.85
114,0.17411153942346572,0.98,0.3979631423950195,0.85
115,0.1842256498336792,0.96,0.30832899212837217,0.95
116,0.1965718936920166,0.96,0.3537664771080017,0.95
117,0.2069617772102356,0.94,0.6806727647781372,0.8
118,0.14962051689624786,0.98,0.4969251394271851,0.85
119,0.3422290217876434,0.88,0.45136544704437254,0.95
120,0.3365946412086487,0.88,0.488003671169281,0.9
121,0.18727185666561127,0.96,0.6319722890853882,0.9
122,0.24555997490882875,0.96,0.3366688549518585,0.95
123,0.2715267276763916,0.9,0.18660839200019835,1.0
124,0.2874138331413269,0.94,0.25087941288948057,1.0
125,0.262795923948288,0.96,0.32241351902484894,0.85
126,0.22292613118886948,0.94,0.32352891713380816,0.85
127,0.3712033700942993,0.86,0.25028998628258703,0.9
128,0.1837524354457855,0.98,0.36412096917629244,0.9
129,0.21157338261604308,0.96,0.4920358180999756,0.85
130,0.15750178694725037,1.0,0.31370675563812256,0.9
131,0.21720370501279831,0.94,0.400006902217865,0.85
132,0.20405889585614204,0.94,0.37084815502166746,0.9
133,0.17647268056869506,1.0,0.2746643126010895,0.95
134,0.1437700507044792,1.0,0.22681703567504882,0.95
135,0.17041302919387818,0.98,0.1928865894675255,0.95
136,0.2558543109893799,0.92,0.21767056584358216,1.0
137,0.19072580575942993,0.96,0.4952840983867645,0.75
138,0.2866038501262665,0.94,0.2803502917289734,0.9
139,0.3144161868095398,0.88,0.221501225233078,0.95
140,0.18787357568740845,0.94,0.27856123745441436,0.95
141,0.20302512019872665,0.94,0.26916733384132385,0.9
142,0.25082938313484193,0.92,0.3191392421722412,0.9
143,0.14855404555797577,0.98,0.35673869848251344,0.9
144,0.12168466597795487,0.98,0.3082631677389145,0.9
145,0.14799658834934235,0.98,0.22625073194503784,0.9
146,0.12180658221244813,0.98,0.16349262669682502,0.95
147,0.12396014630794525,0.98,0.15493035167455674,0.95
148,0.1712320813536644,0.96,0.3082960844039917,0.9
149,0.13337712973356247,0.98,0.3684941649436951,0.9
150,0.09184676751494408,1.0,0.4109303534030914,0.95
151,0.10327022194862366,0.98,0.4399646043777466,0.95
152,0.09734443798661233,1.0,0.4355564206838608,0.95
153,0.16482587337493895,0.98,0.42558577805757525,0.95
154,0.11589593559503555,0.98,0.41971527487039567,0.95
155,0.1281971473246813,0.94,0.4264018714427948,0.95
156,0.05173126459121704,1.0,0.4759587526321411,0.85
157,0.10261264875531197,1.0,0.6005444526672363,0.85
158,0.08559766113758087,1.0,0.5594332933425903,0.9
159,0.0879485684633255,1.0,0.5687119603157044,0.9
160,0.08253238439559936,1.0,0.47029659152030945,0.9
161,0.14589184492826462,0.96,0.38061352968215945,0.95
162,0.05719166100025177,1.0,0.3342291072010994,0.95
163,0.11858609318733215,1.0,0.31224114298820493,0.95
164,0.1184080919623375,0.98,0.3459842219948769,0.95
165,0.13213240087032319,0.98,0.39094440937042235,0.95
166,0.09133007884025574,1.0,0.3717858582735062,0.95
167,0.08538358688354492,0.98,0.4016488015651703,0.95
168,0.1261706292629242,0.98,0.42965571880340575,0.95
169,0.09050221562385559,1.0,0.4365465059876442,0.9
170,0.1353377401828766,0.96,0.39784484803676606,0.95
171,0.10814576208591462,0.98,0.35377963483333585,0.95
172,0.10068986058235169,0.98,0.3361638456583023,0.95
173,0.1364792490005493,0.96,0.6915229797363281,0.9
174,0.14694182328879835,0.94,0.8674523115158081,0.8
175,0.19753856658935548,0.96,0.680829656124115,0.85
176,0.08700986981391906,1.0,0.8660258054733276,0.8
177,0.15643175065517426,0.98,0.7626229047775268,0.75
178,0.09563594192266464,0.98,0.4843361973762512,0.85
179,0.13059859365224838,0.98,0.4457816265523434,0.9
180,0.15660719081759453,0.94,0.42116412669420245,0.9
181,0.07409329414367676,0.98,0.47709690779447556,0.9
182,0.0949877405166626,1.0,0.7775948643684387,0.8
183,0.04935877561569214,1.0,1.262455940246582,0.75
184,0.11353700667619705,0.96,1.0476610660552979,0.85
185,0.18096550270915032,0.94,0.8396732687950135,0.85
186,0.13810884833335876,0.98,0.688383936882019,0.85
187,0.14032430231571197,0.96,0.754394817352295,0.75
188,0.1321605396270752,0.96,0.44790169075131414,0.9
189,0.31654968529939653,0.94,1.0566555202007293,0.7
190,0.30748183250427247,0.88,0.4931161805987358,0.85
191,0.4124909543991089,0.9,0.3827160269021988,0.95
192,0.16887833356857299,0.94,0.6277578830718994,0.9
193,0.18678413152694703,1.0,0.6960890293121338,0.9
194,0.2905610728263855,0.92,0.7257771968841553,0.9
195,0.1549197882413864,1.0,0.7700181245803833,0.8
196,0.18270413599908353,0.96,0.6919441819190979,0.85
197,0.17257469177246093,0.96,0.5952842116355896,0.95
198,0.13800813257694244,0.98,0.724560433626175,0.9
199,0.2154278874397278,0.94,0.4780230961740017,0.95
200,0.11367890000343323,0.98,0.47127648293972013,0.9
201,0.12540956556797028,1.0,0.4269884467124939,0.95
202,0.13557936295866965,1.0,0.47612682580947874,0.9
203,0.1525384360551834,0.98,0.380622286349535,0.9
