noise_kind,snr_db,accuracy
mixed,-10.0,0.2
mixed,-7.5,0.3
mixed,-5.0,0.4
mixed,-2.5,0.4
mixed,0.0,0.6
mixed,2.5,0.65
mixed,5.0,0.7
mixed,7.5,0.8
mixed,10.0,0.85
mixed,12.5,0.9
mixed,15.0,0.9
mixed,17.5,0.95
mixed,20.0,0.9
mixed,22.5,0.95
mixed,25.0,1.0
mixed,27.5,0.95
mixed,30.0,0.95
