SNR,Mean_Acc,Std_Acc
-10,0.10000000000000002,1.3877787807814457e-17
-5,0.15750000000000003,0.04264680527307995
0,0.38,0.07314369419163898
5,0.5575,0.0729297607290741
10,0.7249999999999999,0.043301270189221946
15,0.8524999999999998,0.04602988159880491
20,0.9124999999999999,0.03112474899497181
