snr_db,accuracy,mean_actual_snr_db
-10,0.2,-9.999999791383743
-5,0.3,-4.999999925494194
0,0.35,-2.588599024022642e-08
5,0.25,5.0000001192092896
10,0.3,9.999999791383743
15,0.3,15.0
20,0.45,19.99999976158142
